overlap,k,dim,samples_per_cluster,aspect_r,aspect_mm,radius_mm,min_o_exact,max_o_exact,min_o_lda,max_o_lda,min_o_heuristic,max_o_heuristic,ami_kmeans
9.5e-05,5,10,100,6.49481665177725,9.976785369718602,6.804347474920075,8.05545676767494e-05,0.0005152740294909197,8.514192796571507e-05,0.0005558961917897509,0.0016112428931194245,0.07192802498337647,0.8409306265611135
9.5e-05,5,10,250,9.240868628161012,2.660269230032287,6.229838458226239,6.91096567442262e-05,9.30933596254846e-05,9.500410203466814e-05,9.58146722456199e-05,0.0029771583904951715,0.02331969502478559,0.7577042986917646
9.5e-05,5,100,100,3.415063278608489,7.22187833422413,4.410352362603379,8.980197664154588e-05,9.551905079363543e-05,9.370198264213592e-05,9.653699551326334e-05,0.00042220310685636697,0.00100990536163037,0.7546694598092178
9.5e-05,5,100,250,1.2700907180395147,6.319798693452401,6.962098212112013,9.201257160218468e-05,9.728978298273461e-05,9.262714698476948e-05,9.733108590315176e-05,0.00010011999892589607,0.00011208214682589812,0.8854413656127712
9.5e-05,5,500,100,9.720849927133834,5.335016779161224,1.463916217435341,8.240756361743706e-05,9.237989006183334e-05,9.307009330128402e-05,9.485347719295767e-05,0.00045020751594027075,0.0014224862694387497,0.5685188909271596
9.5e-05,5,500,250,6.5565720733010595,3.916404522956465,7.581713684815388,8.379671461478111e-05,9.378960962935778e-05,9.348960413668728e-05,9.672829073115174e-05,0.0021299556104301676,0.012938576655749046,0.42217967209235896
9.5e-05,10,10,100,8.213384199115705,1.7705564672824985,6.592634742588448,5.10982250090386e-05,9.715091485440475e-05,9.281897047141996e-05,9.734054534860093e-05,0.000660159739944044,0.016278940495483285,0.8181168314103097
9.5e-05,10,10,250,3.3245117882115016,8.257097755020844,3.346299474293445,8.175437209456682e-05,9.375344067819036e-05,9.303227443857587e-05,9.708677263309262e-05,0.00019204314423570956,0.0009510161612875656,0.937629520336395
9.5e-05,10,100,100,2.598614339132874,5.753343592017983,7.242715012238651,8.697778799993117e-05,9.671347873663194e-05,9.324061740922929e-05,9.717144032017622e-05,0.0002448299075068494,0.0009382236263129062,0.542579071494081
9.5e-05,10,100,250,2.619421537589827,4.331551526234306,6.429125730083219,8.410722129204018e-05,9.727999351372141e-05,9.266577850519653e-05,9.72846802034244e-05,0.00025433222750681495,0.0005539624938428744,0.879168123512229
9.5e-05,10,500,100,7.239745045193642,3.143980678797587,9.170619502690501,8.215556534318935e-05,9.511031011943949e-05,9.371522888512729e-05,9.704552613620798e-05,0.000966697034334496,0.002598123725287005,0.028624405193211428
9.5e-05,10,500,250,2.9381994650938106,2.298208057574838,3.1917376525083467,8.78473425354187e-05,9.513098842606205e-05,9.266310873057293e-05,9.702133244227085e-05,0.00020839621348067716,0.0003338163756758661,0.4491475482302252
